,week_of,unique_artists_played,total_plays,bipoc_plays,male_plays,canadian_content_plays,cjsr_station_plays,cjsw_station_plays,ckxu_station_plays,cfuv_station_plays,cjsf_station_plays,cjum_station_plays,ckdu_station_plays,ciut_station_plays,cfre_station_plays,chrw_station_plays,chuo_station_plays,cilu_station_plays,ckut_station_plays,cfbx_station_plays,cfru_station_plays,cfmh_station_plays,cjam_station_plays,chsr_station_plays,chry_station_plays,cjlo_station_plays,chyz_station_plays,chly_station_plays,cscr_station_plays,cism_station_plays,cick_station_plays,cick_province_plays
81,2007-07-31,79,160,108,146,75,10,0,10,10,10,10,10,10,0,10,10,10,0,10,0,0,10,10,0,10,10,10,0,0,0,0
82,2007-08-07,74,140,106,130,53,10,10,10,10,0,10,0,10,0,10,10,10,10,0,0,0,10,10,0,10,10,0,0,0,0,0
83,2007-08-14,89,170,123,154,68,10,0,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10,10,0,10,10,10,0,0,0,0
84,2007-08-21,87,160,106,141,70,10,0,10,10,10,10,10,10,0,10,10,10,10,0,0,0,10,10,0,10,10,10,0,0,0,0
85,2007-08-28,83,160,106,141,51,10,10,10,10,10,10,0,10,0,10,10,10,10,10,0,0,0,10,0,10,10,10,0,0,0,0
86,2007-09-04,76,140,91,117,45,10,10,10,10,0,10,10,10,0,10,10,10,10,0,0,0,10,0,0,0,10,10,0,0,0,0
87,2007-09-11,82,170,107,147,60,10,0,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10,10,0,10,10,10,0,0,0,0
88,2007-09-18,78,160,108,143,46,10,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,10,10,0,0,10,10,0,0,0,0
89,2007-09-25,82,160,99,142,53,10,0,10,10,0,10,10,10,0,10,10,10,10,10,0,0,10,10,0,10,10,10,0,0,0,0
90,2007-10-02,85,160,107,133,54,10,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,10,10,0,0,10,10,0,0,0,0
91,2007-10-09,74,140,90,123,41,10,10,10,10,0,10,0,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0
92,2007-10-16,79,120,83,107,40,10,0,0,10,10,10,10,10,0,10,10,10,10,0,0,0,10,0,0,0,0,10,0,0,0,0
93,2007-10-23,63,90,59,80,30,10,0,10,0,0,10,0,10,0,10,0,10,10,10,0,0,0,0,0,0,10,0,0,0,0,0
94,2007-10-30,85,140,95,132,37,10,0,10,10,10,10,0,10,0,10,10,10,10,0,0,0,10,0,0,10,10,10,0,0,0,0
95,2007-11-06,90,180,109,161,70,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10,0,10,10,10,10,0,0,0,0
96,2007-11-13,74,150,92,141,58,10,10,10,10,0,10,10,0,0,10,10,10,10,0,0,0,10,10,0,10,10,10,0,0,0,0
97,2007-11-20,81,150,87,132,67,10,10,10,10,0,10,10,10,0,10,10,10,0,10,0,0,10,0,0,10,10,10,0,0,0,0
98,2007-11-27,80,150,93,135,59,10,10,10,10,10,10,10,10,0,10,10,10,10,0,0,0,10,0,0,10,0,10,0,0,0,0
99,2007-12-04,82,150,86,140,73,10,10,10,10,0,10,10,10,0,10,10,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0
100,2007-12-11,67,100,64,94,49,10,0,10,10,0,10,0,0,0,10,10,0,10,0,10,0,0,0,0,0,10,10,0,0,0,0
101,2007-12-18,57,90,54,84,48,10,0,0,10,0,10,10,0,0,10,10,0,10,0,10,0,0,0,0,0,0,10,0,0,0,0
102,2008-01-08,59,100,68,94,38,10,10,0,0,10,10,0,0,0,10,10,10,0,0,10,0,0,0,0,0,10,10,0,0,0,0
103,2008-01-15,74,140,90,126,58,10,10,10,10,0,10,0,0,0,10,10,10,10,10,10,0,10,0,0,0,10,10,0,0,0,0
104,2008-01-22,76,150,96,130,64,10,10,10,10,10,10,0,0,0,10,10,10,10,0,10,0,10,0,0,10,10,10,0,0,0,0
105,2008-01-29,78,150,93,132,65,10,10,10,10,10,10,10,0,0,10,10,10,10,10,0,0,10,0,0,10,10,0,0,0,0,0
106,2008-02-05,80,140,91,123,60,10,10,10,10,10,10,10,0,0,10,10,10,10,0,0,0,10,0,0,10,10,0,0,0,0,0
107,2008-02-12,78,130,87,113,56,10,10,10,10,10,10,0,10,0,10,0,10,10,10,0,0,0,0,0,10,10,0,0,0,0,0
108,2008-02-19,77,160,109,144,68,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,0,0,0,0
109,2008-02-26,89,170,126,152,75,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,0,10,0,0,10,10,10,0,0,0,0
110,2008-03-04,74,140,109,124,56,10,10,10,10,10,10,0,10,0,0,10,10,10,0,10,0,10,0,0,10,0,10,0,0,0,0
111,2008-03-11,76,150,109,137,66,10,10,10,0,0,10,10,10,0,10,10,10,10,10,10,0,10,0,0,10,10,0,0,0,0,0
112,2008-03-18,72,130,92,117,56,10,0,10,10,0,10,0,10,0,10,10,10,10,0,10,0,10,0,0,10,10,0,0,0,0,0
113,2008-03-25,69,120,80,106,49,10,10,10,10,0,10,0,10,0,10,0,10,0,10,0,0,10,0,0,10,10,0,0,0,0,0
114,2008-04-01,89,160,115,143,64,10,10,10,10,10,10,0,10,0,10,0,10,10,0,10,0,10,10,0,10,10,10,0,0,0,0
