,artist_name(s),artist_country,artist_home_city,visible_ethnic_minority,census_race_classification,artist_gender,canadian_content,artist_is_group,total_plays,alberta,british columbia,manitoba,new brunswick,nova scotia,ontario,quebec,artist_country_cdn,artist_country_int,artist_country_uk,artist_country_unknown,artist_country_us,visible_ethnic_minority_no,visible_ethnic_minority_unknown,visible_ethnic_minority_yes,artist_gender_female,artist_gender_male,artist_gender_mixed,artist_gender_unknown
1849,"cam, gram and g.a.m.",cdn,"calgary, ab",yes,mixed group,male,True,True,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1850,chadio,cdn,"vancouver, bc",yes,mixed group,male,True,True,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1851,preach ankobia,cdn,"montreal, qc",yes,black,male,True,False,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0
1852,immaculate,cdn,"penticton, bc",no,white,male,True,False,16,0.5625,0.25,0.0,0.0,0.0,0.1875,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1853,don cash,cdn,"toronto, on",yes,black,male,True,False,33,0.24242424242424243,0.12121212121212122,0.0,0.0,0.0,0.5454545454545454,0.09090909090909091,1,0,0,0,0,0,0,1,0,1,0,0
1854,jyoti,us,"los angeles, ca",yes,black,female,False,False,12,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0,0,0,0,1,0,0,1,1,0,0,0
1855,apollo brown,us,"detroit, mi",yes,black,male,False,False,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1856,monica,us,"college park, ga",yes,black,female,False,False,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,1,0,0,0
1857,dza,int,"moscow, russia",no,white,male,False,False,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0
1858,dimitri from paris,int,"paris, fr",no,white,male,False,False,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0
1859,supreme being unit,cdn,"toronto, on",yes,black,male,True,True,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1860,dutch,us,"philadelphia, pa",no,white,mixed,False,True,11,0.0,0.0,0.7272727272727273,0.0,0.0,0.2727272727272727,0.0,0,0,0,0,1,1,0,0,0,0,1,0
1861,groove armada,uk,"london, eng",no,white,male,False,True,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0
1862,jamie t,uk,"london, eng",no,white,male,False,False,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0
1863,basement jaxx,uk,"london, eng",no,white,male,False,True,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0
1864,infected mushroom,int,"kiryat yam, israel",yes,middle eastern,male,False,True,9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0
1865,the gateway drug,us,"sioux city, ia",no,white,male,False,True,6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1866,dirty circus,cdn,"vancouver, bc",no,white,male,True,True,52,0.17307692307692307,0.23076923076923078,0.0,0.0,0.0,0.46153846153846156,0.1346153846153846,1,0,0,0,0,1,0,0,0,1,0,0
1867,the trillionaire$,cdn,"vancouver, bc",no,white,male,True,True,56,0.26785714285714285,0.125,0.125,0.0,0.0,0.26785714285714285,0.21428571428571427,1,0,0,0,0,1,0,0,0,1,0,0
1868,pigeon hole,cdn,"vancouver, bc",no,white,male,True,True,81,0.2839506172839506,0.06172839506172839,0.0,0.0,0.0,0.43209876543209874,0.2222222222222222,1,0,0,0,0,1,0,0,0,1,0,0
1869,homeboy sandman,us,"elmhurst, ny",yes,black,male,False,False,44,0.0,0.11363636363636363,0.0,0.0,0.0,0.6590909090909091,0.22727272727272727,0,0,0,0,1,0,0,1,0,1,0,0
1870,orgone,us,"los angeles, ca",yes,mixed group,mixed,False,True,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,1,0
1871,school of thought,us,"washington, dc",yes,mixed group,male,False,False,17,0.47058823529411764,0.058823529411764705,0.0,0.0,0.0,0.47058823529411764,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1872,miz korona,us,"detroit, mi",yes,black,female,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,1,1,0,0,0
1873,robin thicke,us,"los angeles, ca",no,white,male,False,False,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1874,elaquent,cdn,"guelph, on",yes,black,male,True,False,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0
1875,omar offendum,us,"los angeles, ca",yes,middle eastern,male,False,False,9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
1876,alaclair ensemble,cdn,"montreal, qc",yes,mixed group,male,True,True,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0
1877,frank nitt,us,"detroit, mi",yes,black,male,False,False,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,1,0,0
1878,andre williams,us,"detroit, mi",yes,black,male,False,False,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,1,0,0
1879,lcd soundsystem,us,"new york, ny",no,white,male,False,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
1880,sledgehammer,cdn,"windsor, on",no,white,male,True,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
1881,mares of thrace,cdn,"calgary, ab",yes,mixed group,female,True,True,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,0,0,0
1882,electroluminescent,cdn,"hamilton, on",no,white,male,True,False,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0
