,STATION,WEEK OF,STATION LATITUDE,STATION LONGITUDE,STATION CITY,STATION PROVINCE,MOST PLAYED ARTIST CITY,ARTIST COUNTRY,MOST PLAYED LABEL TYPE,MOST PLAYED LABEL ,ARTIST GENDER female,ARTIST GENDER male,ARTIST GENDER male group,ARTIST GENDER mixed group,CENSUS RACE CLASSIFICATION asian,CENSUS RACE CLASSIFICATION asian other,CENSUS RACE CLASSIFICATION black,CENSUS RACE CLASSIFICATION hispanic,CENSUS RACE CLASSIFICATION mixed group,CENSUS RACE CLASSIFICATION white,ARTIST COUNTRY cdn,ARTIST COUNTRY int,ARTIST COUNTRY uk,ARTIST COUNTRY us,ARTIST COUNTRY us/cdn,CANADIAN CONTENT no,CANADIAN CONTENT yes,ARTIST COUNTRY unknown,ARTIST GENDER unknown,CENSUS RACE CLASSIFICATION unknown,ARTIST GENDER female group,CENSUS RACE CLASSIFICATION native american,CENSUS RACE CLASSIFICATION native canadian,CENSUS RACE CLASSIFICATION middle eastern,CENSUS RACE CLASSIFICATION unidentified,CENSUS RACE CLASSIFICATION asian indian,CENSUS RACE CLASSIFICATION jewish,CENSUS RACE CLASSIFICATION romany,CENSUS RACE CLASSIFICATION other asian,CENSUS RACE CLASSIFICATION indian,CENSUS RACE CLASSIFICATION indian asian,CENSUS RACE CLASSIFICATION inuit,CENSUS RACE CLASSIFICATION metis,ARTIST GENDER no,CENSUS RACE CLASSIFICATION male,CENSUS RACE CLASSIFICATION east asian
24,ckut,2006-01-17,45.5,-73.58,montreal,qc,"new york, ny",us,indie,bad boy,0.0,0.7,0.3,0.0,0.0,0.0,0.8,0.0,0.1,0.1,0.1,0.0,0.0,0.9,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,ckxu,2006-01-17,49.7,-112.83,lethbridge,ab,"los angeles, ca",us,indie,alpha pup,0.0,0.7,0.3,0.0,0.0,0.0,0.6,0.0,0.1,0.3,0.4,0.0,0.0,0.6,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,cfre,2006-01-24,46.59,-79.66,mississauga,on,"toronto, on",cdn,indie,urbnet,0.1,0.6,0.3,0.0,0.0,0.0,0.4,0.0,0.2,0.4,0.7,0.0,0.0,0.3,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,cfru,2006-01-24,43.55,-80.25,guelph,on,"los angeles, ca",cdn,indie,brockway entertainment,0.0,0.6,0.4,0.0,0.1,0.0,0.6,0.0,0.1,0.2,0.4,0.2,0.0,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,chrw,2006-01-24,42.983,-81.25,london,on,"toronto, on",cdn,indie,blue note,0.0,0.4,0.5,0.1,0.0,0.0,0.4,0.0,0.2,0.4,0.7,0.0,0.1,0.2,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,chuo,2006-01-24,45.417,-75.7,ottawa,on,"nanaimo, bc",cdn,indie,babygrande,0.1,0.3,0.6,0.0,0.0,0.0,0.3,0.0,0.2,0.5,0.8,0.0,0.0,0.2,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,cilu,2006-01-24,48.4,-89.2,thunder bay,on,"toronto, on",us,indie,babygrande,0.1,0.7,0.2,0.0,0.0,0.0,0.5,0.0,0.2,0.3,0.3,0.0,0.1,0.6,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ciut,2006-01-24,43.66,-79.42,toronto,on,"new york, ny",cdn,indie,barak,0.0,0.5,0.4,0.1,0.0,0.0,0.6,0.0,0.3,0.1,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,cjsf,2006-01-24,49.25,-123.13,burnaby,bc,"montreal, qc",cdn,indie,blue note,0.0,0.6,0.3,0.1,0.0,0.1,0.4,0.0,0.2,0.3,0.5,0.1,0.0,0.4,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,cjsr,2006-01-24,53.55,-113.5,edmonton,ab,"los angeles, ca",us,indie,chocolate industries,0.1,0.6,0.2,0.1,0.0,0.0,0.2,0.1,0.2,0.5,0.2,0.1,0.1,0.6,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
